movie,year,genre,youtube_title,youtube_url
Anaganaga O Dheerudu,2011.0,"Action, Adventure, Family            ","Anaganaga O Dheerudu Teaser Trailer featuring Sidharth, Shruthi Hassan and Lakshmi Manchu",https://www.youtube.com/watch?v=mFSpbKJgL3k
Madatha Kaaja,2011.0,Comedy            ,"Madatha Kaja Movie New Trailer  - Allari Naresh, Sneha Ullal",https://www.youtube.com/watch?v=JywRMVoqlLU
Panjaa,2011.0,"Action, Thriller            ",PANJAA THEATRICAL TRAILER  in HD,https://www.youtube.com/watch?v=GSiS-WPS7Js
Kandireega,2011.0,"Action, Comedy, Romance            ",Kandireega Theatrical Trailer.flv,https://www.youtube.com/watch?v=ETyHQdLGP3k
Oosaravelli,2011.0,"Action, Thriller            ",Oosaravelli 4K Re-Edited Trailer | NTR Jr | Tamannaah Bhatia | Surender Reddy | Devi Sri Prasad,https://www.youtube.com/watch?v=iUa9e9eOSR0
Mr Perfect,2011.0,"Drama, Romance            ",Mr. Perfect Re - Release Trailer | Prabhas | Kajal | Taapsee | Dasaradh | DSP | Dil Raju,https://www.youtube.com/watch?v=KoLsNVB6t_c
100% Love,2011.0,"Comedy, Drama, Romance            ",100% Love: Trailer,https://www.youtube.com/watch?v=Q0wjGBZ5yuU
Ala Modalaindi,2011.0,"Comedy, Drama, Romance            ",Ala modalaindi Telugu Movie Trailer,https://www.youtube.com/watch?v=xTqNB07fQ9g
Vastadu Naa Raju,2011.0,"Action, Romance            ",Vastadu Naa Raju 2011 official trailer HD,https://www.youtube.com/watch?v=AOpGpNL9eA4
Nuvvila,2011.0,"Comedy, Drama, Romance            ",Nuvvila Song Trailer - Enno Kalale Kanna Song - Ravi Babu,https://www.youtube.com/watch?v=ssQrp46KGWI
Gaganam,2011.0,"Action, Crime, Thriller            ",Gaganam Trailer,https://www.youtube.com/watch?v=8V-JXwPRq9E
Mogudu,2011.0,Drama            ,Mogudu  trailer -  Gopichand  Tapsee.,https://www.youtube.com/watch?v=Kpaq-hEahd4
Badrinath,2011.0,Action            ,Badrinath Telugu Movie Latest Trailer 01,https://www.youtube.com/watch?v=Dibf366nSZQ
Aha Naa Pellanta,2011.0,Comedy            ,Aha Na Pellanta Official Trailer |Raj Tharun | Shivaani Rajashekhar | Premieres 17th Nov,https://www.youtube.com/watch?v=w-jiuCMJSAQ
Prema Kavali,2011.0,Romance            ,"Prema Kavali | Dubbed Hindi Movie Trailer | Aadhi, Isha Chawla | Only on Enterr10 TV",https://www.youtube.com/watch?v=-2WYmDuuTCY
Sri Rama Rajyam,2011.0,"Drama, Fantasy            ",Sri Rama Rajyam Animation Trailer  - Bala Krishna & Nayanatara,https://www.youtube.com/watch?v=xyu31RCJPJo
Sakthi,2011.0,"Action, Fantasy            ",Shakti movie trailer,https://www.youtube.com/watch?v=1uEjU4Ka9kY
Mirapakai,2011.0,"Action, Comedy, Drama            ",Mirapakay Re Release Trailer 1  4K | Ravi Teja | DeekshaSeth Harish Shankar | Re-Releasing On July11,https://www.youtube.com/watch?v=n1EBZNeVW8o
Teen Maar,2011.0,"Comedy, Drama, Romance            ",Teenmaar trailer,https://www.youtube.com/watch?v=kV3Fi9GmHBA
Katha Screenplay Darsakatvam: Appalaraju,2011.0,Comedy            ,KSD Appalraju Trailer - KSD Appalraju New Telugu Movie Trailer,https://www.youtube.com/watch?v=yM7cr_jQR0c
Dhada,2011.0,"Action, Comedy            ",Dhada official theatrical trailer High Definition - www.nagfans.com,https://www.youtube.com/watch?v=dsBijKLLn5M
Dongala Mutha,2011.0,"Action, Crime, Thriller            ",Dongala muta Trailer | RGV | Aditya,https://www.youtube.com/watch?v=MUWr5wHrvvE
Oh My Friend,2011.0,Romance            ,Oh My Friend Trailer - Siddharth Narayan - Hansika Motwani - Shruti Haasan - Hindi Dubbed Movie,https://www.youtube.com/watch?v=_KIpyE2R7l4
Golkonda High School,2011.0,"Drama, Family            ",Golkonda High School Trailers,https://www.youtube.com/watch?v=vypfF9HhEWs
It's My Love Story,2011.0,Romance            ,It's My Breakup Love Story Trailer || Basha | Srujana |John Biber | Rakhi Ar ||,https://www.youtube.com/watch?v=z4yUyJTSURM
Seema Tapakai,2011.0,Comedy            ,Seema Tapakai Movie Trailer 01.mp4,https://www.youtube.com/watch?v=ZV3Vf4Wh9Ns
Veera,2011.0,"Action, Comedy, Drama            ","Veera - Official Tamil Trailer | Krishna, Iswarya Menon | Leon James",https://www.youtube.com/watch?v=J5qj4sTQIq0
Rajanna,2011.0,"Action, Drama, History            ",Rajanna Theatrical Trailer   Nagarjuna,https://www.youtube.com/watch?v=95SU-cFsm44
Parama Veera Chakra,2011.0,"Action, Drama            ",Parama Veera Chakra Trailer,https://www.youtube.com/watch?v=JEGEzavWmDg
Money Money More Money,2011.0,Comedy            ,Money Heist | Series Trailer | Netflix,https://www.youtube.com/watch?v=_InqQJRqGW4
Dookudu,2011.0,"Action, Comedy            ","Dookudu Trailer | MaheshBabu,SreenuVaitla |  PSD Editz| Sreenivas Daramukkala",https://www.youtube.com/watch?v=RJ_bi1qKymA
Raaj,2011.0,"Drama, Romance            ",Raaz Official trailer |Bipasha Basu|Dino Morea|Ashutosh Rana.,https://www.youtube.com/watch?v=O6GUoVApVkc
Nenu Naa Rakshasi,2011.0,"Action, Drama            ",Nenu Naa Rakshasi Movie Trailer,https://www.youtube.com/watch?v=RtMrhESRwsI
Eega,2012.0,"Action, Fantasy            ",Eega Theatrical Trailer | SS Rajamouli | Samantha | Nani | MM Keeravani | Vaaraahi Chalana Chitram,https://www.youtube.com/watch?v=x-1ZoU1xB4I
Yamudiki Mogudu,2012.0,"Comedy, Fantasy            ","Yamudiki Mogudu Trailer | Telugu Latest Trailers | Allari Naresh, Richa Panai | Sri Balaji Video",https://www.youtube.com/watch?v=hwzJFAbi2kE
Rachcha,2012.0,Action            ,Racha trailer official,https://www.youtube.com/watch?v=twheJG-FK5w
Srimannarayana,2012.0,Drama            ,Avane Srimannarayana (Kannada) - Official Trailer | Rakshit Shetty | Pushkar Films | Shanvi | Sachin,https://www.youtube.com/watch?v=Dj-HNEZ59Z4
Daruvu,2012.0,"Action, Comedy, Fantasy            ",Daruvu Theatrical Trailer (SD),https://www.youtube.com/watch?v=3mStmzBxNn0
Ayyare,2012.0,"Drama, Family            ","Ayyare -Telugu  Film Official Trailer(2012),teaser,promo,Rajendra Prasad, Sivaji",https://www.youtube.com/watch?v=f6FQzHg4xIU
Yeto Vellipoyindhi Manasu,2012.0,"Drama, Romance            ",Yeto Vellipoyindhi Manasu Official HD Theatrical Trailer,https://www.youtube.com/watch?v=KMCb4_Sfz6w
Nuvva Nena,2012.0,Comedy            ,Nuvva Nena Movie Trailer,https://www.youtube.com/watch?v=dtN5pymATow
Routine Love Story,2012.0,"Comedy, Romance            ",Routine Love Story Movie Theatrical Trailer,https://www.youtube.com/watch?v=jTYiuTkPEpY
Dhammu,2012.0,"Action, Drama            ",dammu theatrical trailer - Jr.NTR Trisha Kartheeka - dhammu trailer,https://www.youtube.com/watch?v=SQuo9MqulC4
Devudu Chesina Manushulu,2012.0,"Action, Comedy, Fantasy            ",Devudu Chesina Manushulu Official Trailer,https://www.youtube.com/watch?v=faGYaHei3mA
Ishq,2012.0,"Comedy, Romance            ",Ishq Re-Release Trailer | Nithiin | Nithya Menen | Vikram Kumar | Anup Rubens | Sreshth Movies,https://www.youtube.com/watch?v=CF1Mos08l2w
Naa Ishtam,2012.0,Drama            ,Naa Ishtam Movie Theatrical Trailer | Suresh Productions,https://www.youtube.com/watch?v=BSfl-QAAQ6w
Andala Rakshasi,2012.0,Romance            ,Andhala Rakshasi Trailer | Rahul Ravindran | Lavanya Tripathi | Naveen Chandra | Watch on aha,https://www.youtube.com/watch?v=sz3jGURM84I
All the Best,2012.0,Drama            ,"All The Best (2009) Ajay Devgn, Sanjay Dutt, Johnny Lever | Official Trailer",https://www.youtube.com/watch?v=OqgIpjD2WU4
Uu Kodathara Ulikki Padathara,2012.0,"Action, Drama, Fantasy            ",Uu Kodathara Ulikki Padathara Theatrical Trailer,https://www.youtube.com/watch?v=dVuXX6INLkE
Neeku Naaku Dash Dash,2012.0,Thriller            ,Neeku Naaku Dash Dash Trailer,https://www.youtube.com/watch?v=aNF208J6KLU
Ee Rojullo,2012.0,"Comedy, Romance            ",EE Rojullo - Trailer,https://www.youtube.com/watch?v=n8UjA6iXd6M
Poola Rangadu,2012.0,Comedy            ,Poola Rangadu Movie Trailer |  Sunil | Isha Chawla | Telugu FilmNagar,https://www.youtube.com/watch?v=pZL9ZDLVP_k
Minugurulu,2012.0,"Drama, Family            ","Minugurulu Theatrical Trailer - Ashish Vidyarthi, Suhasini Maniratnam",https://www.youtube.com/watch?v=jabARoYbr_o
Cameraman Gangatho Rambabu,2012.0,"Action, Drama            ",Cameraman Ganga Tho Rambabu (CGR ) Making - Power Teaser,https://www.youtube.com/watch?v=n81GDQqqaik
Damarukam,2012.0,"Action, Drama, Fantasy            ",damarukam official trailer,https://www.youtube.com/watch?v=i8nWSMMIVhM
Life Is Beautiful,2012.0,"Drama, Romance            ","Life Is Beautiful | Official Trailer (HD) - Roberto Benigni, Nicoletta Braschi | MIRAMAX",https://www.youtube.com/watch?v=8CTjcVr9Iao
Sarocharu,2012.0,"Drama, Romance            ",Sarocharu Movie Theatrical Trailer,https://www.youtube.com/watch?v=KNNmeTZ7bSA
Gabbar Singh,2012.0,"Action, Comedy            ",Gabbar Singh Re-Release Trailer 4K || Pawan Kalyan || Harish Shankar || Sruthi Hassan || @NmediaENT,https://www.youtube.com/watch?v=8v7C0hqPLIg
Dhenikaina Ready,2012.0,"Action, Comedy            ",Dhenikaina Ready Movie Theatrical Trailer,https://www.youtube.com/watch?v=T0MR-DTriis
Krishnam Vande Jagadgurum,2012.0,Action            ,Krishnam Vande Jagadgurum Theatrical Trailer l  Krishnam Vande Jagadgurum Movie,https://www.youtube.com/watch?v=Gbv6mDaV_UE
Nippu,2012.0,"Action, Comedy, Drama            ",Nippu Official Theater Trailer Release,https://www.youtube.com/watch?v=JuOUgTZMDyU
Ko antey koti,2012.0,"Comedy, Crime, Romance            ",Ko Antey Koti theatrical trailer,https://www.youtube.com/watch?v=dDA_BVUxG6w
