Unnamed: 0,Movie,Year,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings,tmdb_id,tmdb_title,language
503,Anaganaga O Dheerudu,2011.0,PG-13,"Action, Adventure, Family            ","    In a teardrop-shaped land called Sangarashtra, a 9-year-old girl with special healing powers tries to save her homeland from the tyranny of an evil queen with the help of a blind swordsman.",133,5.1,478,72440,Once Upon a Warrior,Telugu
1210,Madatha Kaaja,2011.0,UA,Comedy            ,    A comic account of a police informer who comes across two dangerous criminal dons whom he wishes to bring to justice.,141,5.4,67,85952,Madatha Kaaja,Telugu
102,Panjaa,2011.0,A,"Action, Thriller            ",    A hitman invites the wrath of his boss after beating the latter's son to death for killing an innocent woman.,156,6.5,3479,200339,Veedu Theda,Telugu
420,Kandireega,2011.0,,"Action, Comedy, Romance            ",    Seenu (Ram) is a street-smart guy who shifts to Hyderabad from Anakapally to complete his degree in a college. He falls in love with Sruthi (Hansika Motwani) who also attends the same ...                See full summary »,130,6.2,638,86712,Kandireega,Telugu
116,Oosaravelli,2011.0,UA,"Action, Thriller            ","    A youngster, who does anything for money, avenges on those who killed the family of Niharika.",145,6.6,3122,80281,Oosaravelli,Telugu
125,Mr Perfect,2011.0,U,"Drama, Romance            ","    Vicky (Prabhas), an expert in gaming software, lives in Australia and never compromises in his life, a principle he adheres to since his childhood. He believes that one should be oneself in...                See full summary »",144,7.1,2917,63376,Mr. Perfect,Telugu
141,Pilla Zamindar,2011.0,U,"Comedy, Drama            ",    PJ has to go through a rough journey of living like a common man and graduating from a village-based college to inherit his grandfather's wealth.,148,7.7,2494,85818,Pilla Zamindar,Telugu
142,100% Love,2011.0,U,"Comedy, Drama, Romance            ","    When his cousin Mahalakshmi comes to stay, Balu is challenged to an extent rare in his charmed life. Will Balu let himself be seduced by Mahalakshmi's bubbly spirit and sharp brain, or will his ego prove an insurmountable barrier?",141,7.0,2493,63378,100% Love,Telugu
148,Ala Modalaindi,2011.0,,"Comedy, Drama, Romance            ","    On the day of his girlfriend's marriage, Gautam gets kidnapped by an unknown criminal. Bored on the way to the kidnapper's den, Gautam is forced to narrate his cute love story which is filled with loads of twists and turns.",136,7.7,2394,57010,Ala Modalaindi,Telugu
352,Vastadu Naa Raju,2011.0,,"Action, Romance            ","    Narasimha (Prakashraj) is a local goon, who resorts to murders and extortion at the behest of Home Minister Adikesavulu (Sayaji Shinde). Narasimha""s life ambition is to become an MLA and ...                See full summary »",135,5.8,823,79820,Vastadu Naa Raju,Telugu
974,Nuvvila,2011.0,U,"Comedy, Drama, Romance            ",    Three boys who work at a pizza store are thrown into three different stories when one boy had to cover for another boy and make a delivery.,139,6.8,110,82201,Nuvvila,Telugu
339,Gaganam,2011.0,U,"Action, Crime, Thriller            ",    It is up to Ravi (Nagarjuna) who has to rescue a flight from Chennnai to Delhi which is hijacked by Yousuf Khan 's men.,120,7.1,869,59900,Gaganam,Telugu
785,Mogudu,2011.0,UA,Drama            ,"    A couple truly in love get married. On the day of marriage just after the ritual due to a stupid reason an argument sparks, egoes crash which turns into violence. The couple separates. How they finally unite is rest of the movie.",159,3.8,202,81080,Mogudu,Telugu
209,Badrinath,2011.0,A,Action            ,    A skilled warrior and the protector of Badrinath temple finds his loyalties divided while trying to revive an agnostic's faith in God.,140,4.3,1640,77715,Badrinath,Telugu
952,Aha Naa Pellanta,2011.0,UA,Comedy            ,"    Subramaniam aka Subbu (Naresh) is an honest, intelligent, kind and hardworking IT professional. However, one night at a party organized by his boss Balaraju (Brahmi) changes his life.",142,5.4,116,67902,Aha Naa Pellanta,Telugu
940,Prema Kavali,2011.0,,Romance            ,"    A story about Sreenu, an NCC cadet who loves Prema in his college, and his heroic efforts to gain his love",166,5.8,121,99354,Prema Kavali,Telugu
335,Sri Rama Rajyam,2011.0,,"Drama, Fantasy            ","    Lord Rama's life is one of perfect adherence to dharma (righteousness) despite harsh tests of life and time. Sri Rama Rajyam movie explains how poet Valmiki, the author of the epic Ramayana...                See full summary »",172,6.7,885,94987,Sri Rama Rajyam,Telugu
326,Sakthi,2011.0,A,"Action, Fantasy            ","    While on a trip, a guide starts protecting the central minister's daughter from some Egyptians who want her and a holy diamond in their custody.",161,3.5,909,63372,Shakti,Telugu
321,Mirapakai,2011.0,UA,"Action, Comedy, Drama            ","    Rishi sends to Hyderabad and join in a college as a Hindi lecturer as a part of an undercover operation. He fall in love with her student Vinamra. Rishi has to extract information about Kittu from Vaishali, another student.",160,6.3,916,57736,Mirapakay,Telugu
235,Teen Maar,2011.0,,"Comedy, Drama, Romance            ",    A man reconsiders his ideas about love in the modern world after he hears a love story from 40 years ago.,149,5.6,1476,63377,Teen Maar,Telugu
802,Katha Screenplay Darsakatvam: Appalaraju,2011.0,,Comedy            ,    An aspiring director gets his chance to direct his dream project only to get his project changed by the film crew from an emotional drama to a comedy one.,0,5.0,190,82901,Katha Screenplay Darsakatvam Appalaraju,Telugu
499,Dhada,2011.0,UA,"Action, Comedy            ",    An Indian engineering student in the U.S. gets in trouble with local gangsters and must resolve his problems to return to his lady-love in India.,147,3.7,483,79819,Dhada,Telugu
820,Dongala Mutha,2011.0,U,"Action, Crime, Thriller            ",    3 people try to escape from the captivity of a group of kidnappers.,90,3.7,173,137249,Dongala Mutha,Telugu
299,Oh My Friend,2011.0,,Romance            ,    Age-old analysis on 'can a man and a woman be friends?',130,6.6,1015,86717,Oh My Friend,Telugu
647,Golkonda High School,2011.0,,"Drama, Family            ",    A school in financial trouble hires an ex-student with a chequered past to regain the glory of its once famous cricket program,130,6.8,294,67677,Golconda High School,Telugu
1259,It's My Love Story,2011.0,,Romance            ,    It's My Love Story is the story of Arjun (Aravind Krishna) and Vandana (Nikhita Narayan) who meet in an unexpected way and are forced to live together. Both of them fall in love but when ...                See full summary »,0,5.9,61,117655,It's My Love Story,Telugu
